location,facility_type,cleanliness_score,odor_score,waste_level,water_availability,footfall,complaints,hours_since_cleaning,hygiene_risk,inspection_month,inspection_day_of_week
Sitabuldi,Mall Washroom,7.7,3.8,29.1,Yes,603,6,1.6,Low,9,2
Hingna,Public Washroom,6.1,6.0,66.5,Yes,162,6,1.6,Medium,8,4
Nagpur Central,Mall Washroom,8.0,2.9,22.5,Yes,530,3,3.6,Low,2,3
Kamptee Road,Mall Washroom,7.3,3.4,37.7,No,257,6,6.9,Medium,2,1
Manish Nagar,Hospital Washroom,6.1,6.0,22.2,Yes,668,6,16.7,Medium,3,2
Kamptee Road,School Washroom,5.0,6.1,46.4,Yes,383,7,0.5,Medium,2,6
Hingna,Mall Washroom,7.1,5.7,62.1,Yes,318,5,8.0,Medium,4,6
Dharampeth,Hospital Washroom,9.0,1.0,27.5,Yes,517,3,0.8,Low,6,5
Hingna,Office Washroom,5.9,7.7,34.3,No,320,7,5.7,High,4,4
Dharampeth,Public Washroom,8.7,1.1,15.5,Yes,302,0,2.4,Low,5,5
Dharampeth,Public Washroom,6.4,6.9,14.9,Yes,505,5,4.4,Medium,9,2
Mihan,Mall Washroom,2.2,7.3,81.1,No,524,10,1.5,High,8,3
Hingna,Transit Washroom,7.5,5.2,31.3,Yes,771,7,19.1,Medium,7,3
Dharampeth,Office Washroom,4.1,6.9,39.7,Yes,347,4,6.5,Medium,4,3
Nagpur Central,Hospital Washroom,7.6,2.8,40.8,Yes,268,4,1.1,Low,2,3
Sadar,Office Washroom,4.0,8.9,67.4,Yes,311,3,13.5,High,8,1
Hingna,Hospital Washroom,5.0,6.2,52.8,Yes,763,5,3.6,Medium,1,2
Dharampeth,Public Washroom,7.2,4.0,23.3,Yes,307,3,1.3,Low,5,2
Mihan,School Washroom,7.2,1.6,26.4,Yes,579,5,10.3,Low,6,2
Kamptee Road,Office Washroom,6.0,3.6,46.6,Yes,401,3,0.5,Medium,3,0
Manish Nagar,Mall Washroom,4.4,9.1,64.2,Yes,628,6,13.3,High,9,0
Sadar,School Washroom,7.0,7.0,38.2,Yes,525,4,22.6,Medium,1,3
Hingna,School Washroom,4.5,7.4,82.7,Yes,650,5,4.7,High,6,2
Sadar,Hospital Washroom,8.1,4.9,23.5,Yes,314,0,0.6,Low,1,3
Nagpur Central,Office Washroom,4.2,7.1,69.9,Yes,911,7,1.6,High,4,1
Wardha Road,Hospital Washroom,5.8,8.7,33.2,Yes,317,4,0.5,Medium,1,0
Wardha Road,School Washroom,10.0,2.5,7.8,Yes,270,2,1.0,Low,2,3
Manish Nagar,Office Washroom,8.2,1.9,4.0,Yes,424,0,11.9,Low,1,1
Sitabuldi,Transit Washroom,7.0,4.8,51.7,No,721,9,16.2,High,3,5
Nagpur Central,Mall Washroom,3.3,7.5,53.5,Yes,20,5,11.5,High,8,6
Dharampeth,Public Washroom,7.9,3.3,17.2,Yes,363,2,1.2,Low,9,5
Sitabuldi,Public Washroom,8.8,4.3,0.0,Yes,260,3,0.7,Low,6,0
Manish Nagar,School Washroom,7.3,3.5,49.4,Yes,592,6,2.2,Medium,8,0
Mihan,Hospital Washroom,5.8,4.6,62.7,Yes,630,3,14.7,Medium,3,6
Civil Lines,Mall Washroom,8.6,1.0,23.1,Yes,626,3,4.5,Low,1,3
Sadar,School Washroom,9.5,2.3,10.9,Yes,161,0,0.8,Low,2,5
Dharampeth,Office Washroom,8.1,4.3,14.3,Yes,163,2,12.8,Low,2,2
Sadar,Mall Washroom,5.9,2.2,70.1,Yes,253,2,3.0,Medium,9,6
Wardha Road,Transit Washroom,10.0,1.0,5.1,Yes,20,0,1.2,Low,4,0
Hingna,Hospital Washroom,8.9,2.4,0.0,Yes,782,1,4.2,Low,1,0
Hingna,Transit Washroom,6.5,4.5,52.2,Yes,416,5,15.5,Medium,8,3
Wardha Road,School Washroom,7.3,6.4,38.2,No,496,8,4.2,High,4,6
Nagpur Central,Transit Washroom,6.0,3.4,50.0,Yes,660,4,18.3,Medium,7,6
Nagpur Central,Office Washroom,6.9,2.4,58.3,Yes,583,7,2.9,Medium,6,4
Kamptee Road,Mall Washroom,6.0,7.4,28.2,Yes,272,7,8.4,Medium,5,4
Hingna,Mall Washroom,8.5,2.5,29.1,Yes,330,3,26.2,Low,4,1
Wardha Road,Hospital Washroom,7.2,3.0,34.8,Yes,116,6,26.7,Medium,1,3
Kamptee Road,School Washroom,10.0,1.3,0.0,Yes,424,0,7.9,Low,6,1
Kamptee Road,School Washroom,6.9,1.9,36.4,Yes,534,5,1.5,Low,3,2
Dharampeth,Public Washroom,3.7,9.0,63.0,Yes,211,9,7.3,High,2,5
Mihan,Transit Washroom,4.7,5.2,44.1,Yes,62,5,19.7,Medium,2,5
Dharampeth,Hospital Washroom,6.0,4.8,44.4,Yes,652,4,4.5,Medium,8,5
Wardha Road,Office Washroom,7.3,6.5,30.0,Yes,576,2,10.1,Medium,1,6
Nagpur Central,Public Washroom,4.9,6.1,51.4,No,271,8,18.0,High,8,5
Civil Lines,School Washroom,6.2,7.1,50.3,Yes,70,4,2.9,Medium,3,6
Sitabuldi,School Washroom,6.7,7.8,48.8,Yes,726,5,12.1,High,7,6
Manish Nagar,Transit Washroom,5.9,6.4,39.3,Yes,750,7,5.3,Medium,7,0
Civil Lines,School Washroom,7.3,4.7,39.0,Yes,457,5,11.0,Medium,2,1
Manish Nagar,Office Washroom,8.6,4.5,28.2,No,176,3,1.5,Medium,4,4
Civil Lines,Public Washroom,5.0,5.8,61.6,Yes,50,4,8.1,Medium,1,0
Mihan,Hospital Washroom,10.0,3.3,32.6,Yes,537,3,1.5,Low,2,0
Hingna,Hospital Washroom,7.5,3.0,54.6,Yes,661,3,5.0,Medium,8,0
Dharampeth,Hospital Washroom,5.5,4.5,41.1,Yes,286,7,8.1,Medium,1,5
Kamptee Road,Public Washroom,8.6,2.3,11.3,Yes,248,2,10.2,Low,1,4
Sadar,Public Washroom,5.8,3.0,47.1,Yes,118,6,0.5,Medium,3,3
Hingna,Transit Washroom,5.8,2.1,48.0,No,680,6,3.2,Medium,9,4
Dharampeth,Transit Washroom,5.9,7.9,38.4,Yes,566,8,9.5,High,7,1
Wardha Road,Transit Washroom,7.1,2.2,42.9,Yes,558,1,4.3,Low,5,2
Sitabuldi,Public Washroom,7.2,4.8,45.8,Yes,146,6,12.8,Medium,8,2
Sitabuldi,Hospital Washroom,7.8,2.9,15.7,Yes,590,1,22.5,Low,2,5
Dharampeth,Public Washroom,6.0,4.2,51.9,Yes,476,6,1.2,Medium,6,2
Kamptee Road,Office Washroom,6.3,4.9,37.8,Yes,646,3,17.2,Medium,4,6
